Token ID,Owner Address,Attribute egg type,Attribute background,Attribute leaf,Attribute ear,Attribute fur,Attribute mouth,Attribute eye,Attribute hair,Attribute head accessory,Attribute hand accessory,Attribute foreground,Attribute hatched egg,Attribute eyebrows,Attribute face accessory,Attribute eye sparkle,Attribute clothing,Attribute left arm,Attribute right arm,Attribute 1 of 1
1,0x00D93Cd7C1f8d11b31be003A74a9dD7F4d15556D,Common,,,,,,,,,,,,,,,,,,
2,0x86Ba890c13EF20F5576893194e09Dced37B36Def,,Light Blue,Green,Normal,Heavy Moca,Surprised,Shocked,Moca,Moku Cap,Fishbone,Spirits,Common,,,,,,,
3,0x509F601f4Bdeb2D15DFb6BF2276eB78617aAF13c,,Purple,Green,,Light Dark,Passive,Bored,,Bear Head,Banana Parfait,,Common,Sad,Battle Paint,,,,,
4,0x1e2bc3d1a854248f7FD1C574404cEDb58E03987A,,Light Blue,Green,Normal,Light Brown,Yell,Determined,Brown,Blue Headband,,Anime Zoom,Common,,Eye Bags,Sparkles,Straw Kimono,,,
5,0x9F8bC9C10D6c344FD089ac27EC1Cab694Dd864f8,,Grey,Blue,Tired,Light Brown,Sad,Crying,,Brown Egg,Capirinha,Talisman,Common,,,Watery,Brown Egg,,,
6,0x4E1300ad499FB173e337efc4E6F6E3CfB8E8867E,,Teal,Purple,Tired,Heavy Brown,Smile,Shocked,Brown,,Silver Coin,,Lucky,,Sunglasses,,Purple Hoodie,,,
7,0xe92D99a19571647D643d958be6DeB9a2D2Be717C,,Nature,Purple,Tired,Light Grey,Smile,Bored,Grey,Pink Snapback,Polaroid Camera,,Common,Bushy,,,,,,
8,0xcC1efAe332Ce70c01748AB47d76e0E56a2c5310C,,Blue,Green,Normal,Light Moca,Devious,Crying,Moca,Blue Kanzashi,Strawberry Parfait,,Common,Sad,Blush,Heart,,,,
9,0x34640c78B857C1bBb439E1c6907b058AdeC11f03,,Green,Yellow,,Light Yellow,Teeth Smile,Round,Yellow,,,,Lucky,Surprised,Blush,Big Sparkles,White Sheep Onesie,,,
10,0xbeB0d193a97ca024399e04464763b207347026e3,,Ronin Aurora,Purple,Normal,Light Brown,Teeth Smile,Round,Brown,Black Head Band,Daruma,Heavy Snow,Lucky,Angry,,Big Sparkles,,,,
11,0x1B6fBFF5aCAc492B995A9E97b60E69C37c932bb5,,Red,Green,Excited,Light Yellow,Gasp,Determined,Yellow,Heart Glasses,Blue Wagasa,Particles,Common,,,Sparkles,Lemon Bag,Peace Sign,,
12,0xB4dfEBE28B632a6364429367d301A66ef635889A,,Dark Blue,Rainbow,Normal,Rainbow,Devious,Crying,,White Bunny Headband,Capirinha,,Divine,Sus,,Big Sparkles,Yellow Duck Floatie,,,
13,0x46eF4A03bf0A1F8b11aff7Bc9FC6b05735569550,,Pink,Yellow,Excited,Light Grey,Teeth Smile,Shocked,Grey,,Strawberry Milk,,Common,,Blush,,,Finger,,
14,0x919Cad2F57963fea02b80dCEEA76C1A16f0ebd7d,,Yellow,Purple,Sad,Light Yellow,Smile,Relaxed,Yellow,,,,Lucky,,Blush,,,,Peace Sign,
15,0x640aab2299A40A8DbFeb1B3c93C4936B4f6b9a47,,Light Yellow,Purple,Sad,Heavy Moca,Yell,Bored,Moca,Pink Kanzashi,,,Common,,Blush,,Blue Kimono,,,
16,0x30dE8bE377A2A3Dba7cCfc895c366bA62073977d,,Teal Sparkles,Green,Normal,Light Brown,Drool,Bored,Brown,Eggshell,Taiyaki,,Common,Sus,,,Samurai,,,
17,0x8E772721Bd51f1C1c3ec46Dae2ECcB3E1ADF383A,,Pink,Teal,Normal,Light Moca,Surprised,Excited,Moca,Toilet Paper,Banana Parfait,,Common,Sad,,,Toilet Paper,,,
18,0x1378400D8D17e43724f7e621a43FFbFc7110a064,,Ronin Aurora,Green,Normal,Light Brown,Devious,Crying,Brown,Big Bow,Coconut,Particles,Lucky,,,Heart,Jiangshi,,,
19,0xB38d62144605C6d7A9B5EC9d5bEDB038C86D7Af8,,Yellow,Blue,Normal,Heavy Grey,Passive,Round,Grey,,,,Common,,,Big Sparkles,,,Finger,
20,0x3759468f9fd589665c8AfFBE52414Ef77F863f72,,Yellow Sparkles,Blue,Normal,Light Dark,Drool,Determined,Dark,Straw Hat,,,Lucky,,Blush,Sparkles,Blue Bunny Bag,Finger,Finger,
21,0x236a23da8B654e96F4A27A9AEA32aaB818220000,,Yellow Sparkles,Green,Tired,Light Grey,Disgust,Crying,Grey,,Black Sensu,,Common,Angry,,Sparkles,,,,
22,0x4E1300ad499FB173e337efc4E6F6E3CfB8E8867E,,Light Yellow,Rainbow,Normal,Rainbow,Passive,Determined,Rainbow,Jiangshi,Shovel,,Common,,,Dot,Blue Kimono,,,
23,0x65b43330029369F3DC5A31A99374407c0EfA51fb,,Teal,Red,Normal,Light Dark,Chubby,Determined,Dark,Sky Bucket Hat,,,Common,,,Sparkles,Blue Bandana,,,
24,0x3227B537EC7fD25D2a76b9eaa591FFA4b5e5E298,,Teal Sparkles,Green,Sad,Light Brown,Tongue out,Crying,Brown,,Daruma,,Lucky,Surprised,,Watery,Ninja Shirt,,,
25,0x33f40f7E366D9c9D712D6464c8C8752cE90582e9,,Nature,Green,Excited,Heavy Moca,Disgust,Determined,Moca,Blue Headband,Corn,Spirits,Common,,,Sparkles,,,,
26,0x6A3CFC0A08686D14C36Da1A81845d7a2E8c83a54,,Gallery Grey,Red,Excited,Light Brown,Drool,Frown,Brown,,,,Common,,Blush,,Garbage Can,,,
27,0x3af37038e6DC49e253c8909191F9cFAbd5063172,,Grey,Red,Sad,Light Dark,Sad,Crying,Dark,Blue Snapback,,Rain,Common,Bushy,,Dot,Yellow Blanket,,,
28,0xf4Ac898cBE9b9986b6e75234ef91f08f3269c291,,Light Green,Red,Excited,Light Grey,Yell,Crying,Grey,Blue Snapback,Decorators Brush,,Common,Angry,Blush,Dot,Red Bandana,,,
29,0xC1f1e869114b092b8CAD51D6Db47bAdF99EC855c,,Light Green,Green,Excited,Light Yellow,Disgust,Determined,Yellow,Pink Headband,Pink Phone,,Common,,Annoyed,Sparkles,Red Thin Scarf,,,
30,0x3F86f18322a888d9b3adef38f127c941bCcc014D,,Light Green,Red,Excited,Heavy Grey,Gasp,Determined,Grey,WF Pigcopter Mask,Onigiri,Light Streaks,Common,,,Dot,,Peace Sign,,
