Token ID,Owner Address,Attribute collection,Attribute clan,Attribute revealed,Attribute tier,Attribute appearance,Attribute color theme,Attribute animation,Attribute hair,Attribute hair color,Attribute skin tone,Attribute brow,Attribute brow detail,Attribute face,Attribute face detail,Attribute pupil,Attribute eye color,Attribute accessory,Attribute upper,Attribute lower,Attribute hands
1,0xF618E8802e67214643495c54d6e3E401a600D2a1,Pilot Edition 01,Grimbone,false,,,,,,,,,,,,,,,,,
2,0x53156BA1B89462354248b0ccEb94A269FBc5bce4,Pilot Edition 01,Bubblegum Violence,true,Officer,Male,Harlequin Tonic,Dance,Common,Toxic X,Skin tone 01,Common,01,Common,00,Common,Aquamarine Chill,Common,Common,Clan,Common
3,0x413c28aa512bf156D3EC911e875CA9DFE88Ef48A,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Common,Noir,Skin tone 00,Common,00,Rare,02,Common,Astral,Common,Common,Clan,Common
4,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Common,Melon Light,Skin tone 01,Rare,00,Rare,03,Common,Yuletide Up,Rare,Rare,Common,Common
5,0x5AE729B54c5fC2A3A575484EC0106cF3BafcF04C,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Common,Camo Green,Skin tone 00,Rare,01,Common,00,Uncommon,Astral,Rare,Common,Clan,Common
6,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Common,Green Means Go,Skin tone 04,Clan,01,Rare,01,Rare,Dusk,Rare,Common,Clan,Rare
7,0x058132D1641c564095F3774d5b40e41118dD4b15,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Mime Burst,Finger Gun,Common,Sand X,Skin tone 02,Common,00,Common,00,Rare,Lolita Jam,Rare,Common,Rare,Common
8,0xFd52AE8828CFDdaa077F422638166F8D2Aa19FF0,Pilot Edition 01,Grimbone,true,Master,Male,Sun Rise,Powers,Clan,Green Means Go,Skin tone 00,Common,00,Rare,02,Rare,Sun Spots,Rare,Rare,Clan,Common
9,0x2618204231836BE88F73C0FdEeaFE5D7AA0f2e8E,Pilot Edition 01,Emerald Hand,true,Grand Master,Female,Elite Corps,March,Common,Noir,Skin tone 03,Common,00,Common,00,Rare,Gem Stone,Rare,Rare,Common,Rare
10,0xf6E2fd186c3367Ba54c36d7FB8030C3De93E769C,Pilot Edition 01,Grimbone,true,Grand Master,Female,Dark Side,Bagua,Rare,Void Blue,Skin tone 01,Common,00,Common,00,Common,Blue Blaze,Rare,Rare,Rare,Rare
11,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elegance,March,Rare,Faded Blue,Skin tone 00,Clan,01,Common,00,Rare,Astral,Clan,Common,Common,Common
12,0xc405394cA1cC2a88cA0DA2409ED98854bb0a5ef0,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Tumblers Mule,Dance,Clan,Eclipse,Skin tone 00,Rare,01,Rare,03,Rare,Yuletide Up,Rare,Rare,Common,Rare
13,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Pilot Edition 01,Grimbone,true,Adept,Female,Sun Rise,Bagua,Common,Ginger,Skin tone 02,Rare,01,Rare,05,Common,Blue Blaze,Rare,Rare,Clan,Rare
14,0xba98d38b3C0306CE9B6d95B22ccE420BA09364e3,Pilot Edition 01,Emerald Hand,true,Master,Female,Elite Corps,March,Common,Dark Umber,Skin tone 00,Common,01,Clan,02,Common,Elite,Common,Clan,Common,Clan
15,0x588AA9D5DCA8390F0B99EcEcE60E3553950cf573,Pilot Edition 01,Bubblegum Violence,true,Officer,Male,Harlequin Tonic,Dance,Common,Sand X,Skin tone 02,Rare,01,Rare,05,Common,Yuletide Up,Common,Rare,Common,Rare
16,0xEAce799b62f07D08614D4d6525ef6431f189feea,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Common,Melon Light,Skin tone 04,Clan,01,Common,00,Rare,Yuletide Up,Rare,Common,Common,Rare
17,0x9876089D1d172207F6881e30845440c4360A96Eb,Pilot Edition 01,Emerald Hand,true,Officer,Male,Elite Corps,Scream,Clan,Faded Blue,Skin tone 00,Common,01,Common,00,Common,Elite,Common,Clan,Rare,Clan
