Token ID,Owner Address,Attribute role,Attribute luck,Attribute head,Attribute upperbody,Attribute lowerbody,Attribute face,Attribute figure,Attribute skin,Attribute bg,Attribute expression,Attribute skill 1,Attribute skill 2,Attribute power,Attribute token id,Attribute star,Attribute level,Attribute hatch num,Attribute vitality,Attribute free chance,Attribute used hatch num,Attribute mood
1,0x088771a64D950229020D91513A071F3429944261,Pop,226,Martin's Antenna,Colorful Top,,Sleeping Eye Mask,Lower Eye Lashes,Desert Pop,Grey,,,,,,,,,,,,
2,0xc6de33F747CE9dc5F2B8137532f38405E656F697,Pop,142,Nightcap,,Treasure Boots,Sleeping Eye Mask,Upper Eye Lashes,,Blue,,Increase Coins earned from Frigid Scene in percentage,Increase the probability of getting treasure chests in percentage,451,2,1,21,2/2,88,0/3,,
3,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,118,Cow Horn Tiara,Carton,,,Facial Design,Gloomy Patty,Blue,,Increase win rate in Casual Mode in percentage,Increase Coins earned from Sweet Scene in percentage,510,3,1,26,2/2,,3/3,,
4,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,136,Bee Tentacles,,,,Arrow Face,Gentle Ashe,Blue,,Increase win rate in Team Mode in percentage,Increase power in percentage for each dinosaur character in the team,454,4,1,26,2/2,,3/3,,
5,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,360,Viking Helmet,Viking Armor,Viking Boots,,Facial Design,,Orange,,Increase basic power in percentage,,482,5,1,14,3/3,34,3/3,,
6,0x3242aBA1Cb99D6B444350B17853434E849b3f912,Pop,432,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,,Sky Pop,Orange,,,,,,,,,,,,
7,0x297FdBa757E20D5b63fc110ff451BF3925dfcb6B,Patty,876,Skeleton Kerchief,Pirate Trenchcoat,Leather Boots,Goatee,Lightning,Lava Patty,Bluish Grey,,Increase power in percentage for each dinosaur character in the team,Increase win rate in Frigid Scene in percentage,618,7,2,30,5/5,100,,,
8,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,384,Viking Helmet,Viking Armor,Viking Boots,,Lightning,Noble Patty,Blue,,Increase power in percentage for each dinosaur character in the team,Increase power in percentage for each dinosaur character in the team,458,8,1,30,3/3,88,3/3,,
9,0x4679355f55341A2D0CDFcFdf9aA04Db5f4829351,Patty,124,Grass,,Viking Boots,,,Lava Patty,Grey,,,,,,,,,,,,
10,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,392,Skeleton Kerchief,Viking Armor,Leather Boots,Goatee,Facial Design,,Orange,,Increase win rate in Horror Scene in percentage,Increase win rate in Guardian Scene in percentage,684,10,2,29,5/5,88,3/3,,
