Token ID,Owner Address,Attribute clan,Attribute revealed,Attribute chassis,Attribute color,Attribute graphic,Attribute animation,Attribute emissive color,Attribute tier,Attribute head,Attribute torso,Attribute pelvis,Attribute shoulder left,Attribute shoulder right,Attribute arm left,Attribute arm right,Attribute leg left,Attribute leg right,Attribute knee left,Attribute knee right,Attribute collection
1,0xF618E8802e67214643495c54d6e3E401a600D2a1,Emerald Hand,false,,,,,,,,,,,,,,,,,,
2,0x180daeE13F236e6990a901f6B29B503478986B8e,Bubblegum Violence,true,Medium,Harlequin Tonic,Tri Explosion,Run,Yuletide Up,Runner,Common,Common,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3,0xF326A3eB0FC3cD6649c9e29A06F4F48D49230210,Bubblegum Violence,true,Light,Tumblers Mule,Zero Effort,Dash,Aquamarine Chill,Runner,Rare,Common,Common,Common,Common,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
4,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Harlequin Tonic,Tri Explosion,Dash,Yuletide Up,Runner,Common,Clan,Common,Uncommon,Uncommon,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
5,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Bubblegum Violence,true,Medium,Harlequin Tonic,Zero Effort,Boxing,Ruby Cherry,Runner,Clan,Common,Rare,Common,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
6,0x860f452Ef180B3686fC00F38f2770801Cee59b2d,Bubblegum Violence,true,Medium,Harlequin Tonic,Lightning Jazz,Boxing,Yuletide Up,Officer,Common,Common,Clan,Rare,Rare,Rare,Rare,Common,Common,Common,Common,Spark Suit Edition 01
7,0xab585fD21309988d55fb0f87C0b34e0e037F12A9,Emerald Hand,true,Heavy,Emerald Palace,Wave,Heavy Spin,Aura,Adept,Common,Common,Common,Clan,Common,Clan,Clan,Common,Common,Uncommon,Clan,Spark Suit Edition 01
8,0x758f9D3F0dD43786C446c4c64A03d8CE1a753bb8,Bubblegum Violence,true,Medium,Harlequin Tonic,Lightning Jazz,Boxing,Ruby Cherry,Officer,Common,Common,Uncommon,Uncommon,Rare,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
9,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Elite Corps,Wave,Heavy Spin,Aura,Adept,Uncommon,Common,Common,Uncommon,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
10,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Medium,Tumblers Mule,Tri Explosion,Run,Sapphire Star,Runner,Rare,Common,Clan,Common,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
11,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Heavy,Tumblers Mule,Tri Explosion,Heavy Spin,Lolita Jam,Adept,Uncommon,Common,Common,Common,Common,Common,Common,Rare,Rare,Uncommon,Rare,Spark Suit Edition 01
12,0x34Cd7acEBfF9439Ea23f89f84C053b81de8dAEF4,Bubblegum Violence,true,Medium,Harlequin Tonic,Tri Explosion,Boxing,Aquamarine Chill,Master,Rare,Common,Rare,Uncommon,Common,Common,Common,Rare,Rare,Common,Clan,Spark Suit Edition 01
13,0xF618E8802e67214643495c54d6e3E401a600D2a1,Bubblegum Violence,false,,,,,,,,,,,,,,,,,,
14,0xEB720CDc100e79085ECBC20cF094B24f4F6007C7,Emerald Hand,true,Light,Emerald Palace,Zero Effort,Dash,Elite,Runner,Common,Rare,Uncommon,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
15,0xEB720CDc100e79085ECBC20cF094B24f4F6007C7,Bubblegum Violence,true,Light,Harlequin Tonic,Zero Effort,Spin,Lolita Jam,Runner,Common,Common,Common,Uncommon,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
16,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Heavy,Harlequin Tonic,Zero Effort,Heavy Spin,Yuletide Up,Runner,Common,Rare,Clan,Common,Common,Rare,Rare,Rare,Rare,Common,Common,Spark Suit Edition 01
17,0x369ACf6dCCC7F8f668b7B8B4D5fBa529741bF103,Bubblegum Violence,true,Heavy,Mime Burst,Tri Explosion,Heavy Spin,Yuletide Up,Runner,Rare,Common,Uncommon,Rare,Common,Common,Common,Common,Common,Uncommon,Clan,Spark Suit Edition 01
18,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Bubblegum Violence,false,,,,,,,,,,,,,,,,,,
19,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Mime Burst,Zero Effort,Dash,Yuletide Up,Adept,Uncommon,Common,Uncommon,Uncommon,Common,Clan,Clan,Common,Common,Common,Clan,Spark Suit Edition 01
20,0xF618E8802e67214643495c54d6e3E401a600D2a1,Bubblegum Violence,false,,,,,,,,,,,,,,,,,,
21,0x3334e9194947cC7f7e82eA9D80239cedBFAf46D4,Bubblegum Violence,true,Light,Tumblers Mule,Zero Effort,Dash,Yuletide Up,Runner,Common,Common,Rare,Common,Uncommon,Common,Common,Common,Common,Common,Clan,Spark Suit Edition 01
22,0xEB720CDc100e79085ECBC20cF094B24f4F6007C7,Bubblegum Violence,true,Heavy,Tumblers Mule,Tri Explosion,Heavy Spin,Yuletide Up,Runner,Uncommon,Common,Common,Common,Common,Rare,Rare,Rare,Rare,Common,Uncommon,Spark Suit Edition 01
23,0xF618E8802e67214643495c54d6e3E401a600D2a1,Bubblegum Violence,false,,,,,,,,,,,,,,,,,,
24,0xF618E8802e67214643495c54d6e3E401a600D2a1,Emerald Hand,false,,,,,,,,,,,,,,,,,,
25,0x86ffB5D4B4b5195a2e1cAff2e5C795A7eBd9F1eb,Emerald Hand,true,Heavy,Emerald Palace,Wave,Sumo,Elite,Adept,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
26,0xe249F034cF6A4BE1AF3E836Cc6A70C6874a47Abd,Emerald Hand,true,Heavy,Elegance,Wave,Heavy Spin,Elite,Adept,Common,Clan,Common,Uncommon,Uncommon,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
27,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Harlequin Tonic,Tri Explosion,Dash,Lolita Jam,Adept,Common,Common,Common,Uncommon,Rare,Common,Common,Common,Common,Clan,Common,Spark Suit Edition 01
28,0x2b580723d55FB2dEB7b9A02A31258559c83e0651,Emerald Hand,true,Heavy,Elite Corps,Wave,Heavy Spin,Astral,Runner,Uncommon,Common,Uncommon,Uncommon,Common,Clan,Clan,Common,Common,Common,Common,Spark Suit Edition 01
29,0x5a0294c60b802bC28aDf68739D1CD0dcac736Abc,Bubblegum Violence,true,Light,Tumblers Mule,Lightning Jazz,Dash,Yuletide Up,Master,Common,Clan,Clan,Common,Uncommon,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
30,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Tumblers Mule,Lightning Jazz,Spin,Lolita Jam,Adept,Common,Common,Uncommon,Rare,Clan,Clan,Clan,Common,Common,Rare,Uncommon,Spark Suit Edition 01
