Token ID,Owner Address,Attribute collection,Attribute clan,Attribute tier,Attribute color theme,Attribute emissive theme,Attribute animation,Attribute vfx color,Attribute vfx type,Attribute head,Attribute neck,Attribute body,Attribute tail,Attribute wings,Attribute arms,Attribute legs,Attribute revealed
1,0x4370c12bC9FF8ef1A7fE7ce9dd617fA6d88C4776,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Elite,Dragon Roar,Burst Blue,Zero Soul,Clan,Uncommon,Rare,Uncommon,Epic,Uncommon,Uncommon,true
2,0x39f43650835948A9c85CaD479d47D9C19EbAB8B4,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Blue Blaze,Dog Play,Crimson,Self Aura,Common,Common,Uncommon,Uncommon,Clan,Uncommon,Uncommon,true
3,0xEBf2039d5ca196CD68D47F6C060d2Dbea3FC3385,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
4,0xF255bFD88E3974E0a67cB9312666D3cd2DA7B9Df,Spirit Guardian Edition 01,Bubblegum Violence,Master,Tumblers Mule,Aquamarine Chill,Dog Play,Ice Light,Zero Soul,Uncommon,Common,Epic,Uncommon,Common,Uncommon,Common,true
5,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Sun Rise,Dusk,Dog Play,Noon Sun,Zero Soul,Epic,Common,Common,Common,Uncommon,Uncommon,Uncommon,true
6,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elegance,Aura,Dragon Roar,Solar,Try Soul,Uncommon,Common,Rare,Common,Common,Common,Uncommon,true
7,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dog Play,Ice Light,Try Soul,Uncommon,Common,Common,Uncommon,Common,Uncommon,Common,true
8,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Gem Stone,Dog Play,Sky Rise,Try Soul,Clan,Epic,Common,Rare,Common,Rare,Common,true
9,0x33a7Ba29Ff0e3c190B0D23Db2B56C43e04C76071,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
10,0x1b73a36f4Bce77F40046d77edDd20fC595946b83,Spirit Guardian Edition 01,Emerald Hand,Master,Elite Corps,Elite,Dog Play,Emerald,Zero Soul,Common,Rare,Epic,Common,Common,Common,Common,true
11,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Sun Rise,Blue Blaze,Dog Play,Dusty Orange,Try Soul,Uncommon,Common,Uncommon,Uncommon,Epic,Common,Epic,true
12,0x043Cf5BdA7f8b79d59A4722768Cf4CA2dD7B7DD3,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
13,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Elite,Dog Play,Burst Blue,Zero Soul,Uncommon,Rare,Uncommon,Rare,Rare,Common,Uncommon,true
14,0xdD1455b0C8AEB620BC2337705367cCae60162583,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Dusk,Dog Play,Dirty Yellow,Zero Soul,Common,Common,Rare,Common,Clan,Uncommon,Common,true
