Delegator Address,Validator Address,Staked Amount
0xeda1e5a0fd1b0fdd18b7e39a9127b7244174f769,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,103000000000000000000
0xfe91a7d497341b3707b4e378b336759e8f6cb5d4,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0x76f27f3739df14fb6bb6f69e7cc8246565fbeced,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000
0x5a7eb8d5461fc84e219ab74cb409af3353025206,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,80000000000000000000
0xd2d43d5f6e1bc0b429e19b6975bd844340319b7c,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10250004299514273673167
0xcc713b1421ecb1f16fe56381dbfc3fc551c8e251,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,51000000000000000000
0x802c284ae40b74258baf60244368b7c5977d2ffd,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0x03754f555991790b92355384b370cfd240f41630,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3333333000000000000
0x288f549db0f76140112f1fd52916a02c027bbaff,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,30000000000000000000000
0xc3d0ea2b826fa3ab0aa92f90b12e13d286f2fb61,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20000000000000000000000
0xbdf85f7b58818856cd6595b987f7de965bab78d4,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,6000000000000000000
0xafc8e76f7fc22fe89a1163e114af04420f91d6a7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x30fa18d7b2ac7c3c2f1c5e83710c608684228c4a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,144504494556791942691
0xb76187311418dcfc1eabd55a0e3bc575ea0dffed,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,300000000000000000000
0xf123adcd537dc6970fa41d90ba77487df1bccd7c,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,30500000000000000000
0xe7fcd3291efcd9146635ab1414bcc1d76aa25290,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,5000000000000000000
0xafe866856814c714b4c881512b37931e9b1d0890,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000
0xa2901bae96df608302febc5b8773bce06cf9925f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,5000000000000000000
0x560235b2a10435375118a204779b62784f725aae,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,67667274272643622646
0xfb3543ec7671500def1b8dc858e24806326eb271,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,500000000000000000000
0x377142a8a445af88be08dc4edc24c545527fc20a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
